epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,117996,0.57875,0.49765,0.98265,0.97545,0.95904,0.98258,0.87686,0.52318,0.33686,0.92768,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,119942,0.58109,0.50891,0.98521,0.97676,0.96395,0.98369,0.8699,0.52492,0.33458,0.92089,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,121896,0.57929,0.5068,0.97771,0.96767,0.95943,0.97781,0.86161,0.53742,0.36167,0.93639,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,123839,0.57282,0.49633,0.97468,0.96892,0.96977,0.98387,0.8776,0.51507,0.32941,0.90953,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,125793,0.58014,0.5029,0.97612,0.96614,0.97271,0.98211,0.8718,0.52587,0.32914,0.93042,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,127737,0.5753,0.50167,0.97502,0.98112,0.96401,0.98326,0.87374,0.52166,0.33142,0.92681,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,129697,0.57008,0.49109,0.97613,0.96921,0.96939,0.98334,0.87718,0.50545,0.32474,0.91199,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,131646,0.57034,0.48642,0.97559,0.96387,0.96869,0.98062,0.87506,0.50957,0.32643,0.92235,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,133632,0.5714,0.48899,0.97124,0.96865,0.97281,0.98307,0.8807,0.50189,0.32612,0.90847,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,135844,0.57128,0.48004,0.9742,0.96581,0.97726,0.98393,0.8775,0.51601,0.31683,0.92274,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,137771,0.55983,0.47422,0.96856,0.97185,0.97157,0.98346,0.87841,0.51054,0.31174,0.91465,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,139691,0.56626,0.47543,0.97571,0.96862,0.97021,0.98169,0.87876,0.50807,0.31167,0.91282,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,141623,0.55883,0.47448,0.96859,0.9675,0.97099,0.98364,0.8777,0.50111,0.31853,0.90889,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,143563,0.55599,0.46631,0.96763,0.97049,0.96583,0.98493,0.87927,0.50157,0.31364,0.91276,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,145498,0.56019,0.46011,0.96892,0.96305,0.98101,0.98677,0.87999,0.50145,0.30023,0.90727,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,147431,0.54788,0.46046,0.9622,0.96613,0.9767,0.98513,0.87966,0.509,0.31428,0.91499,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,149362,0.56098,0.46035,0.97183,0.96304,0.97809,0.98273,0.88056,0.50402,0.3088,0.91286,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,151313,0.54755,0.45025,0.96678,0.98604,0.96627,0.98301,0.87998,0.50449,0.29916,0.9136,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,153255,0.55788,0.46257,0.96787,0.96972,0.97222,0.98174,0.88247,0.5028,0.30133,0.91113,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,155188,0.55621,0.45663,0.97204,0.96698,0.97581,0.98251,0.88363,0.49888,0.29685,0.91427,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,157128,0.55419,0.45045,0.96432,0.97798,0.96906,0.98431,0.8869,0.49404,0.29358,0.90705,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,159681,0.55001,0.45478,0.96273,0.98026,0.96858,0.98372,0.88309,0.49433,0.29475,0.90646,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,161702,0.54254,0.44776,0.95849,0.97731,0.96247,0.98235,0.88573,0.48946,0.30171,0.90394,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,163639,0.54945,0.45072,0.96549,0.98152,0.96803,0.98249,0.88537,0.49262,0.29058,0.90441,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,165604,0.54179,0.44199,0.961,0.97546,0.9747,0.98568,0.88679,0.48926,0.29178,0.89655,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,167545,0.54215,0.44202,0.95692,0.98033,0.9709,0.98602,0.8822,0.50106,0.29465,0.90784,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,169496,0.54381,0.4359,0.95893,0.97992,0.9657,0.98121,0.88358,0.50008,0.29714,0.90638,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,171452,0.54159,0.44265,0.96043,0.97716,0.96302,0.98499,0.88634,0.49303,0.2948,0.90323,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,173475,0.53059,0.42413,0.95598,0.9816,0.96875,0.98583,0.88739,0.48934,0.29221,0.89697,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,176453,0.53804,0.4358,0.96296,0.98069,0.9732,0.98555,0.88509,0.48836,0.286,0.90344,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,178463,0.5361,0.43503,0.95571,0.98375,0.97037,0.98563,0.88379,0.494,0.2911,0.90733,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,180442,0.53386,0.42514,0.95872,0.98361,0.97239,0.98507,0.88363,0.49614,0.28316,0.90515,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,182424,0.53213,0.43282,0.95468,0.9803,0.97224,0.9856,0.88425,0.49653,0.28069,0.90303,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,184407,0.53482,0.42629,0.9591,0.98312,0.96989,0.98598,0.88674,0.49485,0.27792,0.90119,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,186558,0.53623,0.42674,0.96232,0.97599,0.96972,0.98591,0.88696,0.48917,0.28303,0.90008,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,188599,0.53348,0.4274,0.9606,0.96561,0.97626,0.98413,0.88818,0.49398,0.29152,0.90509,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,190967,0.5295,0.421,0.95403,0.97805,0.96829,0.98379,0.88733,0.48976,0.28959,0.90214,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,193049,0.53307,0.4179,0.95764,0.97914,0.96916,0.98323,0.89072,0.4819,0.27523,0.89457,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,195025,0.52967,0.41508,0.94814,0.98119,0.9698,0.98638,0.8867,0.48372,0.27705,0.89497,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,196988,0.52642,0.42084,0.95155,0.98096,0.97021,0.9829,0.8838,0.49438,0.28199,0.90593,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,198984,0.53273,0.41122,0.95763,0.98353,0.97128,0.98649,0.88792,0.4901,0.27656,0.90246,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,200955,0.53168,0.42226,0.95596,0.98089,0.97474,0.9856,0.88619,0.49058,0.27408,0.90543,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,202959,0.52882,0.4112,0.95678,0.98022,0.97261,0.98679,0.88754,0.48407,0.27273,0.89941,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,204948,0.52124,0.40611,0.94808,0.97332,0.98179,0.98513,0.88908,0.47951,0.27336,0.9008,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,206926,0.52052,0.41495,0.94823,0.97571,0.97194,0.98355,0.88621,0.48407,0.28034,0.90408,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,208889,0.52398,0.40208,0.95113,0.97962,0.96706,0.98545,0.88888,0.48701,0.27534,0.90859,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,210868,0.52383,0.40484,0.95295,0.97999,0.97013,0.98357,0.88784,0.48048,0.27753,0.89835,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,212844,0.51036,0.39634,0.94799,0.97877,0.97549,0.98305,0.88941,0.48506,0.27449,0.90297,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,214815,0.51979,0.40123,0.95161,0.97552,0.97349,0.98383,0.89117,0.48269,0.2745,0.90277,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,216802,0.51098,0.40269,0.94511,0.98077,0.97249,0.98461,0.88984,0.48377,0.27573,0.89951,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,218794,0.51884,0.39951,0.95023,0.98318,0.97656,0.98541,0.88732,0.48736,0.27471,0.90328,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,220807,0.51686,0.39751,0.94963,0.9791,0.96824,0.98319,0.88822,0.48485,0.27547,0.90058,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
